time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1753965383001000000,2502.154,10.899999618530273,1.100000023841858,20.730182647705078,14.125,3.9162983894348145,310.0948181152344,156.50001525878906,37.6743749,55.6161658
1753965384001000000,2503.154,10.100000381469727,1,20.740182876586914,14.211000442504883,3.6739189624786377,309.0099792480469,156.50001525878906,37.6743307,55.6161846
1753965385001000000,2504.154,11,1,20.75018310546875,14.225000381469727,3.2698676586151123,308.9922180175781,156.50001525878906,37.6742881,55.6162002
1753965386001000000,2505.154,15.899999618530273,0.8999999761581421,20.760183334350586,14.239999771118164,2.0991318225860596,307.9847106933594,156.50001525878906,37.674257,55.6162145
1753965387001000000,2506.154,21.299999237060547,0.8999999761581421,20.770183563232422,14.239999771118164,1.4374384880065918,307.9718017578125,156.50001525878906,37.6742362,55.6162235
1753965388001000000,2507.154,22.299999237060547,0.800000011920929,20.780183792114258,11.633000373840332,1.2951477766036987,307.9950256347656,156.50001525878906,37.6742212,55.6162306
1753965389001000000,2508.154,20.5,0.8999999761581421,20.79018211364746,11.583000183105469,1.7212461233139038,307.021484375,156.50001525878906,37.6742039,55.6162381
1753965390001000000,2509.154,14.899999618530273,0.800000011920929,20.741943359375,11.5,2.135643482208252,307.0084533691406,156.50001525878906,37.6741798,55.6162479
1753965391001000000,2510.154,8.300000190734863,0.699999988079071,20.751943588256836,11.5,2.8543665409088135,306.0158386230469,156.50001525878906,37.6741471,55.6162608
1753965392001000000,2511.154,10,0.8999999761581421,20.76194190979004,11.5,3.489142894744873,306.01171875,156.50001525878906,37.6741061,55.6162773
1753965393001000000,2512.154,6,0.699999988079071,20.771942138671875,11.515999794006348,4.166591167449951,306.007080078125,156.50001525878906,37.6740546,55.6162983
1753965393908871000,2513.0618708496095,18.919702529907227,1.0847969055175781,20.771942138671875,11.461000442504883,1.8138774633407593,299.395263671875,156.50001525878906,37.674042,55.6162968
1753965394090543900,2513.2435439453125,19.220352172851562,1.0847969055175781,20.78194236755371,11.486000061035156,1.7809866666793823,299.4828796386719,156.50001525878906,37.674048,55.6162921
1753965394507520300,2513.660520263672,15.855560302734375,0.5636389851570129,20.78194236755371,11.039999961853027,2.7165136337280273,296.5343017578125,156.50001525878906,37.6740002,55.6163072
1753965394989439500,2514.142439453125,15.743745803833008,0.5697361826896667,20.78194236755371,10.798999786376953,2.741783857345581,297.3523864746094,156.50001525878906,37.673968,55.6163167
1753965395001000000,2514.154,5.199999809265137,0.800000011920929,20.791942596435547,10.854000091552734,4.554523944854736,308.1053466796875,156.50001525878906,37.6739575,55.6163283
1753965396001000000,2515.154,7.900000095367432,1,20.801942825317383,10.831999778747559,4.840057373046875,309.9811096191406,156.50001525878906,37.6738859,55.6163721
1753965397001000000,2516.154,9.428210258483887,0.45454251766204834,20.81194305419922,10.623000144958496,3.1326189041137695,301.9026184082031,156.50001525878906,37.6738283,55.6163818
1753965397867585000,2517.0205849609374,180,0.4805085062980652,20.81194305419922,10.567999839782715,3.2764909267425537,70.52103424072266,156.50001525878906,37.6738122,55.616382
1753965398059302000,2517.212302001953,180,0.49080690741539,20.821943283081055,10.678000450134277,3.1980676651000977,76.75000762939453,156.50001525878906,37.6738223,55.6163789
1753965398470084600,2517.6230847167967,85.6012191772461,0.3824688792228699,20.821943283081055,10.623000144958496,3.0514631271362305,13.123838424682617,156.50001525878906,37.6738206,55.6163949
1753965399007811600,2518.1608115234376,87.459228515625,0.4069451093673706,20.821943283081055,10.77400016784668,3.153289318084717,348.9912414550781,156.50001525878906,37.6738092,55.6164089
1753965399045266400,2518.1982663574217,87.41824340820312,0.4069451093673706,20.83194351196289,11.067999839782715,3.2198710441589355,344.5306701660156,156.50001525878906,37.673803,55.6164088
1753965399506578200,2518.659578125,42.58214569091797,0.34659460186958313,20.83194351196289,11.01200008392334,3.4188427925109863,336.0594482421875,156.50001525878906,37.6737694,55.6164361
1753965400031231000,2519.184230957031,43.095703125,0.37915268540382385,20.841943740844727,11.625,3.4378721714019775,336.708740234375,156.50001525878906,37.673749,55.6164545
1753965400208226800,2519.361226806641,28.26763153076172,0.37659788131713867,20.841943740844727,11.4399995803833,3.461324691772461,334.1415100097656,156.50001525878906,37.6737251,55.6164698
1753965400970557000,2520.1235568847655,30.39137840270996,0.3653400242328644,20.841943740844727,11.456999778747559,3.3977575302124023,335.9117126464844,156.50001525878906,37.6736982,55.6164942
1753965401126747000,2520.279746826172,30.402908325195312,0.3653400242328644,20.85194206237793,11.512999534606934,3.4000415802001953,336.6913146972656,156.50001525878906,37.6736938,55.6164971
1753965401627093200,2520.780093261719,22.19996452331543,0.34770509600639343,20.85194206237793,11.362000465393066,3.359724998474121,335.648193359375,156.50001525878906,37.6736643,55.6165183
1753965402112711200,2521.2657111816407,21.859067916870117,0.37110722064971924,20.861942291259766,11.303999900817871,3.3656997680664062,338.66546630859375,156.50001525878906,37.6736496,55.6165317
1753965402608290300,2521.761290283203,18.719600677490234,0.3556395471096039,20.861942291259766,11.284000396728516,3.2839221954345703,341.0513000488281,156.50001525878906,37.6736308,55.6165505
1753965403086412300,2522.2394123535155,18.675827026367188,0.38408172130584717,20.861942291259766,11.194000244140625,3.2834413051605225,344.1616516113281,156.50001525878906,37.6736199,55.6165651
1753965403098675500,2522.2516755371093,18.65104866027832,0.38408172130584717,20.8719425201416,11.126999855041504,3.2828617095947266,344.5975646972656,156.50001525878906,37.6736189,55.6165657
1753965404084639500,2523.2376394042967,15.522012710571289,0.3971286416053772,20.881942749023438,11.039999961853027,3.229438066482544,352.2038879394531,156.50001525878906,37.6736041,55.6165971
1753965405070603500,2524.223603515625,12.720890045166016,0.40284350514411926,20.891942977905273,10.458999633789062,3.182464599609375,358.1920471191406,156.50001525878906,37.6735993,55.6166302
1753965406056567600,2525.2095676269532,12.025869369506836,0.41681066155433655,20.90194320678711,10.01200008392334,3.1888773441314697,1.959602952003479,156.50001525878906,37.6736032,55.6166652
1753965407042531600,2526.1955314941406,9.915033340454102,0.4052416682243347,20.911943435668945,9.590999603271484,3.2240238189697266,3.6600072383880615,156.50001525878906,37.6736104,55.6167015
1753965408028495600,2527.1814956054686,9.642480850219727,0.43011415004730225,20.92194366455078,9.274999618530273,3.1883909702301025,2.8522157669067383,156.50001525878906,37.6736143,55.6167348
1753965408491836200,2527.6448361816406,9.574407577514648,0.4487980008125305,20.92194366455078,8.675000190734863,3.112159013748169,1.4513120651245117,156.50001525878906,37.6736135,55.6167488
1753965409124011500,2528.2770114746095,9.77373218536377,0.4723091721534729,20.931941986083984,8.638999938964844,3.127444267272949,0.08442945033311844,156.50001525878906,37.6736136,55.6167664
1753965410067785000,2529.2207849121096,9.68409252166748,0.47408783435821533,20.931941986083984,8.279000282287598,3.100835084915161,358.183837890625,156.50001525878906,37.6736112,55.6167966
1753965410109975600,2529.2629755859375,9.713995933532715,0.47408783435821533,20.94194221496582,8.295999526977539,3.100785732269287,358.09228515625,156.50001525878906,37.6736108,55.6167972
1753965410769905700,2529.9229057617185,9.445552825927734,0.45015254616737366,20.94194221496582,8.246999740600586,3.216970920562744,356.9831848144531,156.50001525878906,37.6736066,55.6168228
1753965411001000000,2530.154,4.5,0.8999999761581421,20.951942443847656,8.609000205993652,5.940029144287109,3.003319025039673,156.50001525878906,37.6736079,55.6168391
1753965412001000000,2531.154,6.800000190734863,1.399999976158142,20.961942672729492,8.904000282287598,6.555756568908691,3.998603582382202,156.50001525878906,37.6736186,55.6169058
1753965413001000000,2532.154,6,1.2999999523162842,20.971942901611328,9.255999565124512,7.312499523162842,2.0221433639526367,156.50001525878906,37.6736283,55.6169778
1753965414001000000,2533.154,5.400000095367432,1.2999999523162842,20.981943130493164,9.847999572753906,7.8572869300842285,356.0492858886719,156.50001525878906,37.6736309,55.6170524
1753965415001000000,2534.154,5.400000095367432,1.399999976158142,20.991943359375,10.220000267028809,9.061844825744629,346.0953674316406,156.50001525878906,37.6736139,55.6171313
1753965416001000000,2535.154,3.5999999046325684,1.100000023841858,21.001943588256836,11.416000366210938,9.996949195861816,339.0454406738281,156.50001525878906,37.6735676,55.6172242
1753965417001000000,2536.154,4.5,1.2000000476837158,21.01194190979004,11.399999618530273,9.621108055114746,334.0834045410156,156.50001525878906,37.6734974,55.6173132
1753965418001000000,2537.154,4.199999809265137,1.100000023841858,21.021942138671875,11.399999618530273,8.788299560546875,330.06988525390625,156.50001525878906,37.6734172,55.6173904
1753965419001000000,2538.154,5.199999809265137,1.2000000476837158,21.03194236755371,11.399999618530273,8.1491060256958,328.0478820800781,156.50001525878906,37.673341,55.6174575
1753965420001000000,2539.154,4.900000095367432,1.100000023841858,21.041942596435547,11.399999618530273,7.582106590270996,328.9991455078125,156.50001525878906,37.6732769,55.6175189
1753965421001000000,2540.154,3.299999952316284,0.800000011920929,21.051942825317383,11.399999618530273,6.782944679260254,330.0058288574219,156.50001525878906,37.6732238,55.6175759
1753965422001000000,2541.154,5.099999904632568,1,21.06194305419922,11.399999618530273,6.39738655090332,330.0089416503906,156.50001525878906,37.6731818,55.6176275
1753965423001000000,2542.154,5.400000095367432,1,21.071943283081055,11.399999618530273,6.549363136291504,329.9974060058594,156.50001525878906,37.6731382,55.61768
1753965424001000000,2543.154,4.599999904632568,1,21.08194351196289,11.399999618530273,7.119020938873291,330.979248046875,156.50001525878906,37.6730894,55.6177354
1753965425001000000,2544.154,5.099999904632568,1.100000023841858,21.091943740844727,11.399999618530273,7.109027862548828,331.0003662109375,156.50001525878906,37.6730387,55.6177945
1753965426001000000,2545.154,5,1.100000023841858,21.10194206237793,11.399999618530273,7.262265682220459,330.9962463378906,156.50001525878906,37.6729904,55.6178482
1753965427001000000,2546.154,4.900000095367432,1.100000023841858,21.111942291259766,11.399999618530273,7.268649101257324,330.0118713378906,156.50001525878906,37.6729367,55.6179052
1753965428001000000,2547.154,4.900000095367432,1.100000023841858,21.1219425201416,11.399999618530273,7.995698928833008,329.9860534667969,156.50001525878906,37.6728814,55.6179627
1753965429001000000,2548.154,2.799999952316284,0.699999988079071,21.131942749023438,11.399999618530273,7.983423709869385,330.0000915527344,156.50001525878906,37.6728191,55.618026
1753965430001000000,2549.154,4.5,1.100000023841858,21.141942977905273,11.383000373840332,7.959603786468506,330.9886779785156,156.50001525878906,37.6727622,55.6180913
1753965431001000000,2550.154,4.599999904632568,1.100000023841858,21.15194320678711,11.366000175476074,7.9581990242004395,333.9660339355469,156.50001525878906,37.6727093,55.6181586
1753965432001000000,2551.154,4.5,1,21.161943435668945,11.350000381469727,7.657148361206055,334.0059509277344,156.50001525878906,37.6726574,55.6182261
